mpg	cylinders	displacement	horsepower	weight	acceleration	model_year	origin	car_name
-1	8	304	193	4732	18.5	70	1	"hi 1200d"
-1	8	307	200	4376	15	70	1	"chevy c20"
-1	8	360	215	4615	14	70	1	"ford f250"
-1	8	318	210	4382	13.5	70	1	"dodge d200"
-1	8	350	180	3664	11	73	1	"oldsmobile omega"
-1	8	400	150	4997	14	73	1	"chevrolet impala"
-1	8	429	208	4633	11	72	1	"mercury marquis"
-1	8	350	160	4456	13.5	72	1	"oldsmobile delta 88 royale"
-1	8	350	180	4499	12.5	73	1	"oldsmobile vista cruiser"
-1	8	383	180	4955	11.5	71	1	"dodge monaco (sw)"
-1	8	400	167	4906	12.5	73	1	"ford country"
-1	8	429	198	4952	11.5	73	1	"mercury marquis brougham"
-1	8	455	225	4951	11	73	1	"buick electra 225 custom"
-1	8	302	129	3169	12	75	1	"ford mustang ii"
-1	8	302	130	3870	15	76	1	"ford f108"
-1	8	302	140	4294	16	72	1	"ford gran torino (sw)"
-1	8	307	130	4098	14	72	1	"chevrolet chevelle concours (sw)"
-1	8	318	150	3755	14	76	1	"dodge d100"
-1	8	318	150	3940	13.2	76	1	"plymouth volare premier v8"
-1	8	350	145	3988	13	73	1	"chevrolet malibu"
-1	8	350	145	4055	12	76	1	"chevy c10"
-1	8	350	150	4699	14.5	74	1	"buick century luxus (sw)"
-1	8	350	155	4502	13.5	72	1	"buick lesabre custom"
-1	8	350	165	4274	12	72	1	"chevrolet impala"
-1	8	350	175	4100	13	73	1	"buick century 350"
-1	8	351	158	4363	13	73	1	"ford ltd"
-1	8	360	170	4654	13	73	1	"plymouth custom suburb"
-1	8	360	175	3821	11	73	1	"amc ambassador brougham"
-1	8	400	150	4464	12	73	1	"chevrolet caprice classic"
-1	8	400	170	4746	12	71	1	"ford country squire (sw)"
-1	8	400	175	5140	12	71	1	"pontiac safari (sw)"
-1	8	400	190	4422	12.5	72	1	"chrysler newport royal"
-1	8	440	215	4735	11	73	1	"chrysler new yorker brougham"
-1	8	302	137	4042	14.5	73	1	"ford gran torino"
-1	8	302	140	4638	16	74	1	"ford gran torino (sw)"
-1	8	304	150	3672	11.5	73	1	"amc matador"
-1	8	304	150	4257	15.5	74	1	"amc matador (sw)"
-1	8	318	150	4077	14	72	1	"plymouth satellite custom (sw)"
-1	8	318	150	4096	13	71	1	"plymouth fury iii"
-1	8	318	150	4237	14.5	73	1	"plymouth fury gran sedan"
-1	8	318	150	4457	13.5	74	1	"dodge coronet custom (sw)"
-1	8	340	160	3609	8	70	1	"plymouth 'cuda 340"
-1	8	350	165	4209	12	71	1	"chevrolet impala"
-1	8	351	148	4657	13.5	75	1	"ford ltd"
-1	8	351	153	4129	13	72	1	"ford galaxie 500"
-1	8	351	153	4154	13.5	71	1	"ford galaxie 500"
-1	8	400	175	4385	12	72	1	"pontiac catalina"
-1	8	400	175	4464	11.5	71	1	"pontiac catalina brougham"
-1	8	440	215	4312	8.5	70	1	"plymouth fury iii"
-1	8	454	220	4354	9	70	1	"chevrolet impala"
-1	8	455	225	3086	10	70	1	"buick estate wagon (sw)"
-1	8	455	225	4425	10	70	1	"pontiac catalina"
-1	8	351	152	4215	12.8	76	1	"ford gran torino"
-1	6	250	100	3336	17	74	1	"chevrolet nova"
-1	6	250	720	3158	19.5	75	1	"ford maverick"
-1	6	250	720	3432	21	75	1	"mercury monarch"
-1	6	258	110	3730	19	75	1	"amc matador"
-1	8	302	130	4295	14.9	77	1	"mercury cougar brougham"
-1	8	304	150	3892	12.5	72	1	"amc matador (sw)"
-1	8	318	150	3399	11	73	1	"dodge dart custom"
-1	8	318	150	3777	12.5	73	1	"dodge coronet custom"
-1	8	318	150	4135	13.5	72	1	"plymouth fury iii"
-1	8	350	145	4082	13	73	1	"chevrolet monte carlo s"
-1	8	350	145	4440	14	75	1	"chevrolet bel air"
-1	8	350	165	3693	11.5	70	1	"buick skylark 320"
-1	8	383	170	3563	10	70	1	"dodge challenger se"
-1	8	390	190	3850	8.5	70	1	"amc ambassador dpl"
-1	8	400	150	3761	9.5	70	1	"chevrolet monte carlo"
-1	8	429	198	4341	10	70	1	"ford galaxie 500"
-1	8	304	120	3962	13.9	76	1	"amc matador"
-1	8	318	145	4140	13.7	77	1	"dodge monaco brougham"
-1	8	350	170	4165	11.4	77	1	"chevrolet monte carlo landau"
-1	8	351	142	4054	14.3	79	1	"ford country squire (sw)"
-1	8	400	190	4325	12.2	77	1	"chrysler cordoba"
-1	6	225	105	3439	15.5	71	1	"plymouth satellite custom"
-1	6	250	100	3278	18	73	1	"chevrolet nova custom"
-1	6	250	100	3781	17	74	1	"chevrolet chevelle malibu classic"
-1	6	250	105	3897	18.5	75	1	"chevroelt chevelle malibu"
-1	6	258	110	3632	18	74	1	"amc matador"
-1	8	302	140	4141	14	74	1	"ford gran torino"
-1	8	304	150	3433	12	70	1	"amc rebel sst"
-1	8	318	150	4190	13	76	1	"dodge coronet brougham"
-1	8	318	150	4498	14.5	75	1	"plymouth grand fury"
-1	8	351	149	4335	14.5	77	1	"ford thunderbird"
-1	8	400	170	4668	11.5	75	1	"pontiac catalina"
-1	8	400	180	4220	11.1	77	1	"pontiac grand prix lj"
-1	8	400	230	4278	9.50	73	1	"pontiac grand prix"
-1	6	163	133	3410	15.8	78	2	"peugeot 604sl"
-1	6	168	120	3820	16.7	76	2	"mercedes-benz 280s"
-1	8	350	180	4380	12.1	76	1	"cadillac seville"
-1	8	351	138	3955	13.2	79	1	"mercury grand marquis"
-1	8	350	155	4360	14.9	79	1	"buick estate wagon (sw)"
-1	6	163	125	3140	13.6	78	2	"volvo 264gl"
-1	6	231	110	3907	21	75	1	"buick century"
-1	6	250	100	3329	15.5	71	1	"chevrolet chevelle malibu"
-1	8	260	110	4060	19	77	1	"oldsmobile cutlass supreme"
-1	8	302	140	3449	10.5	70	1	"ford torino"
-1	8	304	150	3672	11.5	72	1	"amc ambassador sst"
-1	8	305	130	3840	15.4	79	1	"chevrolet caprice classic"
-1	6	250	110	3520	16.4	77	1	"chevrolet concours"
-1	6	258	950	3193	17.8	76	1	"amc pacer d/l"
-1	8	305	140	4215	13	76	1	"chevrolet chevelle malibu classic"
-1	8	305	145	3880	12.5	77	1	"chevrolet caprice classic"
-1	8	318	140	4080	13.7	78	1	"dodge magnum xe"
-1	6	225	850	3465	16.6	81	1	"chrysler lebaron salon"
-1	8	302	129	3725	13.4	79	1	"ford ltd landau"
-1	6	231	165	3445	13.4	78	1	"buick regal sport coupe (turbo)"
-1	3	700	900	2124	13.5	73	3	"maxda rx3"
-1	4	121	112	2933	14.5	72	2	"volvo 145e (sw)"
-1	6	171	970	2984	14.5	75	1	"ford pinto"
-1	6	199	970	2774	15.5	70	1	"amc hornet"
-1	6	225	105	3121	16.5	73	1	"plymouth valiant"
-1	6	225	105	3613	16.5	74	1	"plymouth satellite sebring"
-1	6	225	950	3785	19	75	1	"plymouth fury"
-1	6	232	100	2789	15	73	1	"amc gremlin"
-1	6	232	100	2945	16	73	1	"amc hornet"
-1	6	232	100	3288	15.5	71	1	"amc matador"
-1	6	250	105	3459	16	75	1	"chevrolet nova"
-1	6	250	780	3574	21	76	1	"ford granada ghia"
-1	6	250	880	3021	16.5	73	1	"ford maverick"
-1	6	250	880	3139	14.5	71	1	"ford mustang"
-1	6	258	110	2962	13.5	71	1	"amc hornet sportabout (sw)"
-1	8	307	130	3504	12	70	1	"chevrolet chevelle malibu"
-1	8	318	150	3436	11	70	1	"plymouth satellite"
-1	6	258	120	3410	15.1	78	1	"amc concord d/l"
-1	8	302	139	3205	11.2	78	1	"ford futura"
-1	8	318	135	3830	15.2	79	1	"dodge st. regis"
-1	6	250	110	3645	16.2	76	1	"pontiac ventura sj"
-1	6	250	980	3525	19	77	1	"ford granada"
-1	8	360	150	3940	13	79	1	"chrysler lebaron town @ country (sw)"
-1	6	225	110	3620	18.7	78	1	"dodge aspen"
-1	3	700	970	2330	13.5	72	3	"mazda rx2 coupe"
-1	4	120	880	3270	21.9	76	2	"peugeot 504"
-1	4	121	112	2868	15.5	73	2	"volvo 144ea"
-1	4	122	850	2310	18.5	73	1	"ford pinto"
-1	6	156	108	2930	15.5	76	3	"toyota mark ii"
-1	6	225	100	3630	17.7	77	1	"plymouth volare custom"
-1	6	225	950	3264	16	75	1	"plymouth valiant custom"
-1	6	232	100	2634	13	71	1	"amc gremlin"
-1	6	232	100	2901	16	74	1	"amc hornet"
-1	6	232	900	3211	17	75	1	"amc pacer"
-1	6	250	100	3282	15	71	1	"pontiac firebird"
-1	6	250	880	3302	15.5	71	1	"ford torino 500"
-1	6	225	900	3381	18.7	80	1	"dodge aspen"
-1	6	231	105	3535	19.2	78	1	"pontiac phoenix lj"
-1	8	267	125	3605	15	79	1	"chevrolet malibu classic (sw)"
-1	8	305	145	3425	13.2	78	1	"chevrolet monte carlo landau"
-1	6	232	900	3210	17.2	78	1	"amc concord"
-1	8	318	140	3735	13.2	78	1	"dodge diplomat"
-1	6	200	850	2990	18.2	79	1	"mercury zephyr 6"
-1	8	260	110	3365	15.5	78	1	"oldsmobile cutlass salon brougham"
